S1,S2,S4,S5,sharpe,trades,dd
1.5,0.5,1.5,2.0,0.015129039045799765,52,-0.34373896917568947
1.5,0.5,2.0,2.0,0.015129039045799765,52,-0.34373896917568947
1.5,0.5,2.0,2.5,0.015129039045799765,52,-0.34373896917568947
1.5,0.5,0.5,2.0,0.015129039045799765,52,-0.34373896917568947
1.5,0.5,0.5,2.5,0.015129039045799765,52,-0.34373896917568947
1.5,0.5,1.0,2.5,0.015129039045799765,52,-0.34373896917568947
1.5,0.5,1.0,2.0,0.015129039045799765,52,-0.34373896917568947
1.5,0.5,1.5,2.5,0.015129039045799765,52,-0.34373896917568947
1.5,0.5,2.5,2.5,0.015129039045799765,52,-0.34373896917568947
1.5,0.5,2.5,2.0,0.015129039045799765,52,-0.34373896917568947
1.5,1.0,2.5,2.0,0.009421242668868592,52,-0.34373896917568947
1.5,1.0,2.5,2.5,0.009421242668868592,52,-0.34373896917568947
1.5,1.0,2.0,2.0,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,2.0,2.0,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,1.5,2.5,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,2.0,1.5,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,1.0,2.5,0.009421242668868592,52,-0.34373896917568947
1.5,1.0,1.0,2.0,0.009421242668868592,52,-0.34373896917568947
1.5,1.0,1.0,2.5,0.009421242668868592,52,-0.34373896917568947
1.5,1.0,0.5,2.0,0.009421242668868592,52,-0.34373896917568947
1.5,1.0,0.5,2.5,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,2.5,2.5,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,2.5,2.0,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,2.0,2.5,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,2.5,1.5,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,1.0,1.5,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,0.5,2.5,0.009421242668868592,52,-0.34373896917568947
1.5,1.0,1.5,2.0,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,1.0,2.0,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,0.5,2.0,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,0.5,1.5,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,1.5,1.5,0.009421242668868592,52,-0.34373896917568947
1.0,0.5,1.5,2.0,0.009421242668868592,52,-0.34373896917568947
1.5,1.0,2.0,2.5,0.009421242668868592,52,-0.34373896917568947
1.5,1.0,1.5,2.5,0.009421242668868592,52,-0.34373896917568947
0.5,1.5,1.5,2.5,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,2.0,2.0,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,0.5,1.5,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,1.0,2.5,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,0.5,1.0,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,1.0,1.5,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,2.0,1.5,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,2.0,1.0,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,1.5,1.5,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,1.5,1.0,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,0.5,2.0,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,1.0,1.0,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,1.5,2.0,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,2.0,2.5,0.007084930511920037,52,-0.34373896917568947
0.5,1.5,0.5,2.5,0.007084930511920037,52,-0.34373896917568947
