date,close,score,signal,confidence_pct,regime,S1_signal,S1_conf,S2_signal,S2_conf,S3_signal,S3_conf,S4_signal,S4_conf,S5_signal,S5_conf,S6_signal,S6_conf,S7_signal,S7_conf,S8_signal,S8_conf,S9_signal,S9_conf,S10_signal,S10_conf
2011-05-27,1536.300048828125,0.0,0,0.0,ranging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-30,1536.300048828125,0.0,0,0.0,ranging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-31,1535.9000244140625,-0.1113499853351318,-1,8.53481476076298,trending,-1.0,0.001,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.399,0.0,0.0
2011-06-01,1542.4000244140625,0.4978823474333157,1,39.361055617014145,trending,1.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.7,0.0,0.0,1.0,0.332,0.0,0.0
2011-06-02,1532.0,0.4231513632813745,1,26.762442059489693,trending,1.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.846,1.0,0.773,0.0,0.0
2011-06-03,1541.699951171875,0.5758189923163023,1,47.74438861684284,trending,1.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.7,-1.0,0.251,1.0,1.0,0.0,0.0
2011-06-06,1546.5,0.6033491570502,1,46.24583717714464,trending,1.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,1.0,0.0,0.0,1.0,0.255,1.0,1.0,0.0,0.0
2011-06-07,1543.300048828125,0.6028825117871948,1,46.21006949503179,trending,1.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0,1.0,0.0,0.0,1.0,0.347,1.0,1.0,0.0,0.0
2011-06-08,1538.0999755859375,0.403994470309589,1,31.938567207289275,trending,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.0,1.0,-1.0,0.7,0.0,0.195,1.0,1.0,0.0,0.0
2011-06-09,1542.0999755859375,0.5181915315766115,1,37.546543553807986,trending,1.0,0.081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,1.0,0.0,0.0,0.0,0.05,1.0,0.713,0.0,0.0
2011-06-10,1528.5999755859375,-0.1736403951503697,-1,11.485232578071605,trending,1.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.7,0.0,0.117,-1.0,0.092,0.0,0.0
2011-06-13,1515.0,0.08286810320409091,1,5.241039030056488,trending,-1.0,0.044,0.0,0.0,1.0,0.007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.116,1.0,0.273,0.0,0.0
2011-06-14,1523.800048828125,0.0854704059973041,1,5.812616032709883,trending,-1.0,0.085,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.301,1.0,0.495,0.0,0.0
2011-06-15,1525.5999755859375,-0.4284411053133205,-1,27.096994720603227,trending,-1.0,0.114,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.155,-1.0,1.0,0.0,0.0
2011-06-16,1529.300048828125,-0.4335833415252242,-1,27.422218294527468,trending,-1.0,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.119,-1.0,1.0,0.0,0.0
2011-06-17,1538.5999755859375,0.02216196693569212,0,1.4658763268969384,trending,-1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,0.0,0.069,-1.0,0.278,0.0,0.0
2011-06-20,1541.5,-0.17851648098733286,-1,10.370870368312398,trending,-1.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.03,-1.0,0.318,0.0,0.0
2011-06-21,1546.0,0.26157802647316614,1,17.301760162176688,trending,-1.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924,1.0,0.7,0.0,0.055,1.0,0.324,0.0,0.0
2011-06-22,1552.9000244140625,0.17841272111223846,1,11.800892269832651,trending,1.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0.7,0.0,0.09,1.0,0.002,0.0,0.0
2011-06-23,1520.0999755859375,-0.4614670981351362,-1,30.52317949760522,trending,-1.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,-1.0,0.7,0.0,0.14,-1.0,0.851,0.0,0.0
2011-06-24,1500.5,-0.5808013503802374,-1,48.157503923574694,trending,-1.0,0.153,0.0,0.0,0.0,0.0,1.0,0.59,-1.0,1.0,0.0,0.838,-1.0,0.7,0.0,0.117,-1.0,1.0,0.0,0.0
2011-06-27,1496.0,-0.49195119942162063,-1,39.66237369321726,trending,-1.0,0.283,0.0,0.0,0.0,0.0,1.0,0.513,-1.0,0.95,0.0,0.828,0.0,0.0,-1.0,0.253,-1.0,0.699,0.0,0.0
2011-06-28,1499.699951171875,-0.3816464851682099,-1,32.214671074588004,trending,-1.0,0.38,0.0,0.0,0.0,0.0,1.0,0.4,-1.0,0.9,0.0,0.816,0.0,0.0,-1.0,0.272,-1.0,0.252,-1.0,0.035
2011-06-29,1509.9000244140625,-0.1543496000914883,-1,13.912884936930556,trending,-1.0,0.422,0.0,0.0,0.0,0.0,1.0,0.4,-1.0,0.85,0.0,0.79,1.0,0.7,-1.0,0.233,1.0,0.233,-1.0,0.035
2011-06-30,1502.300048828125,-0.1688922886628393,-1,13.616531628998516,trending,-1.0,0.49,0.0,0.0,0.0,0.0,1.0,0.4,-1.0,0.8,0.0,0.772,0.0,0.0,0.0,0.157,1.0,0.729,-1.0,0.035
2011-07-01,1482.300048828125,-0.2779305049371323,-1,24.06948777621929,trending,-1.0,0.629,0.0,0.0,0.0,0.0,1.0,0.432,-1.0,0.75,0.0,0.774,-1.0,0.7,0.0,0.0,1.0,0.635,-1.0,0.035
2011-07-04,1482.300048828125,-0.30646054707885145,-1,25.868247462392308,trending,-1.0,0.741,0.0,0.0,0.0,0.0,1.0,0.4,-1.0,0.7,0.0,0.776,0.0,0.0,-1.0,1.0,1.0,0.611,-1.0,0.035
2011-07-05,1512.300048828125,-0.266972830292553,-1,23.120525315358258,trending,-1.0,0.708,0.0,0.0,0.0,0.0,1.0,0.4,-1.0,0.65,0.0,0.753,1.0,0.7,-1.0,1.0,1.0,0.147,0.0,0.0
2011-07-06,1528.699951171875,-0.27907569154331363,-1,23.13973392395327,trending,-1.0,0.623,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.6,0.0,0.706,1.0,0.7,1.0,0.462,-1.0,0.41,0.0,0.0
2011-07-07,1530.199951171875,-0.01061944419646596,0,0.7509081003753209,trending,-1.0,0.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.0,0.7,1.0,0.889,-1.0,0.19,0.0,0.0
2011-07-08,1541.199951171875,-0.06812317068039819,-1,4.817035594403816,trending,-1.0,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.622,1.0,0.7,1.0,0.75,-1.0,0.463,0.0,0.0
2011-07-11,1548.800048828125,-0.385455643256727,-1,24.378355393131603,trending,-1.0,0.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601,0.0,0.0,1.0,0.865,-1.0,1.0,0.0,0.0
2011-07-12,1561.9000244140625,-0.10770990050037776,-1,7.616240104474543,trending,-1.0,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592,1.0,0.7,1.0,0.882,-1.0,1.0,0.0,0.0
2011-07-13,1585.199951171875,0.09166618393380643,1,7.2468481411690435,trending,1.0,0.062,0.0,0.0,-1.0,0.005,-1.0,0.46,0.0,0.0,0.0,0.602,1.0,0.7,1.0,0.983,-1.0,0.378,0.0,0.0
2011-07-14,1589.0,0.1472632357414526,1,11.642181013732632,trending,1.0,0.261,0.0,0.0,-1.0,0.032,-1.0,0.404,0.0,0.0,0.0,0.616,1.0,0.7,1.0,1.0,-1.0,0.414,0.0,0.0
2011-07-15,1589.800048828125,0.2400026039548039,1,18.97387182171289,trending,1.0,0.435,0.0,0.0,-1.0,0.038,-1.0,0.4,0.0,0.0,0.0,0.627,1.0,0.7,1.0,1.0,-1.0,0.245,0.0,0.0
2011-07-18,1602.0999755859375,0.08498501149532779,1,6.157749096790177,trending,1.0,0.624,0.0,0.0,-1.0,0.127,-1.0,0.4,0.0,0.0,0.0,0.647,0.0,0.0,1.0,1.0,-1.0,0.68,0.0,0.0
