weights,train_sharpe,train_trades,train_dd,train_return
"{'S1': 1.0, 'S2': 1.5, 'S5': 0.5, 'S7': 0.5, 'S9': 1.5}",0.09783447504530549,177,-0.2625693296668016,0.03149095066575569
"{'S1': 2.0, 'S2': 0.5, 'S5': 2.0, 'S7': 0.5, 'S9': 2.0}",0.09525721661467741,137,-0.2495864337538909,0.02632211362632697
"{'S1': 1.5, 'S2': 1.0, 'S5': 2.0, 'S7': 0.5, 'S9': 1.5}",0.09311832501843363,147,-0.24606266821602119,0.023385361274260053
"{'S1': 1.0, 'S2': 1.5, 'S5': 1.5, 'S7': 0.5, 'S9': 1.5}",0.09102479050249482,177,-0.2596216992184748,0.022025343862109636
"{'S1': 1.5, 'S2': 1.0, 'S5': 1.5, 'S7': 0.5, 'S9': 1.5}",0.08981077240740837,148,-0.2493085616551174,0.018811183329942693
"{'S1': 1.5, 'S2': 1.0, 'S5': 0.5, 'S7': 0.5, 'S9': 1.5}",0.08865560037309306,147,-0.2568709736866617,0.017364742539334177
"{'S1': 1.5, 'S2': 0.5, 'S5': 1.5, 'S7': 0.5, 'S9': 1.5}",0.08490926156303867,148,-0.2582574110888254,0.012133487409961674
"{'S1': 1.5, 'S2': 1.0, 'S5': 1.0, 'S7': 0.5, 'S9': 1.5}",0.08426939803434558,147,-0.2542589740854777,0.011191110312232855
"{'S1': 1.5, 'S2': 0.5, 'S5': 0.5, 'S7': 0.5, 'S9': 1.5}",0.08381824677221314,146,-0.26757790935639714,0.010753006480827887
"{'S1': 1.5, 'S2': 0.5, 'S5': 2.0, 'S7': 0.5, 'S9': 1.5}",0.08319398097053722,148,-0.258841080774178,0.009738947761190664
"{'S1': 1.0, 'S2': 1.5, 'S5': 2.0, 'S7': 0.5, 'S9': 1.5}",0.08265772931721663,179,-0.2660411083810934,0.010661884434770785
"{'S1': 1.0, 'S2': 1.0, 'S5': 0.5, 'S7': 0.5, 'S9': 1.5}",0.07980123936355729,182,-0.28277197505717355,0.0068820041404944465
"{'S1': 1.5, 'S2': 0.5, 'S5': 1.0, 'S7': 0.5, 'S9': 1.5}",0.07728509975528954,147,-0.26689846823034213,0.0017266260054400462
"{'S1': 2.0, 'S2': 0.5, 'S5': 1.5, 'S7': 0.5, 'S9': 2.0}",0.07433092988850375,140,-0.2603592189956818,-0.002506219378500818
