date,close,score,signal,confidence_pct,regime,S1_signal,S1_conf,S2_signal,S2_conf,S3_signal,S3_conf,S4_signal,S4_conf,S5_signal,S5_conf,S6_signal,S6_conf,S7_signal,S7_conf,S8_signal,S8_conf,S9_signal,S9_conf,S10_signal,S10_conf
2011-05-27,1536.300048828125,-0.5266666666666667,-1,21.26608513129754,ranging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.527,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-30,1536.300048828125,-0.5266666666666667,-1,21.26608513129754,ranging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.527,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-31,1535.9000244140625,-0.2168373598131554,-1,15.905334114253803,trending,-1.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,0.533,0.0,0.0,1.0,0.399,0.0,0.0
2011-06-01,1542.4000244140625,0.38775994690233895,1,28.4427532087708,trending,1.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.493,0.0,0.0,1.0,0.332,0.0,0.0
2011-06-02,1532.0,0.40735231750214973,1,27.523326557595595,trending,1.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.52,0.0,0.0,1.0,0.773,0.0,0.0
2011-06-03,1541.699951171875,0.5520282543028491,1,40.49207125912621,trending,1.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0
2011-06-06,1546.5,0.5567432885395031,1,40.837925843219786,trending,1.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,1.0,1.0,0.507,0.0,0.0,1.0,1.0,0.0,0.0
2011-06-07,1543.300048828125,0.5545837447174304,1,40.67952017892819,trending,1.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0,1.0,1.0,0.507,0.0,0.0,1.0,1.0,0.0,0.0
2011-06-08,1538.0999755859375,0.5459540104137262,1,40.04651668019565,trending,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.0,1.0,1.0,0.507,0.0,0.0,1.0,1.0,0.0,0.0
2011-06-09,1542.0999755859375,0.15684938032762996,1,11.505129014088224,trending,1.0,0.081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,1.0,-1.0,0.533,0.0,0.0,1.0,0.713,0.0,0.0
2011-06-10,1528.5999755859375,0.17672824213659669,1,11.940889768596216,trending,1.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.527,0.0,0.0,-1.0,0.092,0.0,0.0
2011-06-13,1515.0,-0.1281990800164685,-1,8.661949354585346,trending,-1.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.533,0.0,0.0,1.0,0.273,0.0,0.0
2011-06-14,1523.800048828125,-0.0864639653267617,-1,5.842058215712806,trending,-1.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.553,0.0,0.0,1.0,0.495,0.0,0.0
2011-06-15,1525.5999755859375,-0.15024084214348232,-1,10.151231705172298,trending,-1.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.493,0.0,0.0,-1.0,1.0,0.0,0.0
2011-06-16,1529.300048828125,-0.15653968878112323,-1,10.576822049194556,trending,-1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.487,0.0,0.0,-1.0,1.0,0.0,0.0
2011-06-17,1538.5999755859375,0.0637064010178387,1,4.304411693972654,trending,-1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,-1.0,0.278,0.0,0.0
2011-06-20,1541.5,-0.3028558330156664,-1,20.462876075128353,trending,-1.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,-1.0,0.527,0.0,0.0,-1.0,0.318,0.0,0.0
2011-06-21,1546.0,-0.10106593031998055,-1,6.828660313266408,trending,-1.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924,-1.0,0.52,0.0,0.0,1.0,0.324,0.0,0.0
2011-06-22,1552.9000244140625,-0.17989416097789648,-1,12.15479948355317,trending,1.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-1.0,0.547,0.0,0.0,1.0,0.002,0.0,0.0
2011-06-23,1520.0999755859375,-0.0821749627316611,-1,5.552265783070745,trending,-1.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,1.0,0.473,0.0,0.0,-1.0,0.851,0.0,0.0
2011-06-24,1500.5,-0.31098415700211735,-1,22.811137922083056,trending,-1.0,0.153,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.838,1.0,0.427,0.0,0.0,-1.0,1.0,0.0,0.0
2011-06-27,1496.0,-0.2637454708631202,-1,19.346111937600767,trending,-1.0,0.283,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.95,0.0,0.828,1.0,0.447,0.0,0.0,-1.0,0.699,0.0,0.0
2011-06-28,1499.699951171875,-0.15313088333379704,-1,11.786018683570259,trending,-1.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.9,0.0,0.816,1.0,0.487,0.0,0.0,-1.0,0.252,-1.0,0.035
2011-06-29,1509.9000244140625,-0.04937761079529801,0,3.800444630851281,trending,-1.0,0.422,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.85,0.0,0.79,1.0,0.493,0.0,0.0,1.0,0.233,-1.0,0.035
2011-06-30,1502.300048828125,0.04986423834004326,0,3.8378988739761333,trending,-1.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.8,0.0,0.772,1.0,0.5,0.0,0.0,1.0,0.729,-1.0,0.035
2011-07-01,1482.300048828125,-0.28090650982753895,-1,21.62052030972107,trending,-1.0,0.629,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.75,0.0,0.774,-1.0,0.513,0.0,0.0,1.0,0.635,-1.0,0.035
2011-07-04,1482.300048828125,-0.3104266272200832,-1,23.892594025715393,trending,-1.0,0.741,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.7,0.0,0.776,-1.0,0.513,0.0,0.0,1.0,0.611,-1.0,0.035
2011-07-05,1512.300048828125,-0.43319939025359955,-1,31.775802131199438,trending,-1.0,0.708,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.65,0.0,0.753,-1.0,0.513,0.0,0.0,1.0,0.147,0.0,0.0
2011-07-06,1528.699951171875,-0.22945041572152433,-1,16.83052001670731,trending,-1.0,0.623,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.6,0.0,0.706,1.0,0.493,0.0,0.0,-1.0,0.41,0.0,0.0
